m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation,num_his
0,3000,25,3.9189,6,0.0856,0
1,8100,23,3.9189,6,-0.0013,0
2,2300,23,3.9173,6,-0.0013,0
3,2300,31,3.9173,6,0.3461,0
4,3800,28,3.9173,6,0.2158,0
5,2600,39,3.9173,6,0.6935,0
6,7700,26,3.9196,6,0.129,0
7,1800,46,3.9173,6,0.9975,0
8,3900,33,3.9173,6,0.433,0
9,4800,32,3.9173,6,0.3895,0
10,2600,21,3.9173,6,-0.0881,0
11,4900,23.02916667,3.9178,4,-1,0
12,2800,46,3.9176,6,0.9975,0
13,2600,36,3.9171,3,0.5632,0
14,2700,23.02916667,3.9181,6,-1,0
15,1700,23.02916667,3.9172,3,-1,0
16,3700,41,3.9171,5,0.7804,0
17,2100,41,3.9159,3,0.7804,0
18,7300,24,3.9191,6,0.0422,0
19,4700,29,3.9173,6,0.2593,0
20,1700,23.02916667,3.9166,6,-1,0
21,3300,36,3.9171,6,0.5632,0
22,2400,29,3.9173,6,0.2593,0
23,6500,28,3.9179,6,0.2158,0
24,2200,43,3.9159,6,0.8672,0
25,8900,23,3.9194,6,-0.0013,0
26,5600,22,3.9173,4,-0.0447,0
27,1500,52,3.9171,3,1.258,0
28,2700,43,3.9172,6,0.8672,0
29,6600,38,3.9173,6,0.6501,0
30,2000,23.02916667,3.917,6,-1,0
31,4800,38,3.9172,6,0.6501,0
32,3400,23.02916667,3.9168,6,-1,0
33,8300,29,3.9181,6,0.2593,0
34,2600,65,3.9159,6,1.8225,0
35,5400,50,3.9176,6,1.1712,0
36,2400,47,3.9171,3,1.0409,0
37,3200,23.02916667,3.917,4,-1,0
38,6800,23,3.9176,5,-0.0013,0
39,2300,35,3.9173,3,0.5198,0
40,2300,35,3.9173,3,0.5198,0
41,6400,29,3.9172,6,0.2593,0
42,13700,33,3.9179,6,0.433,0
43,6800,25,3.9173,6,0.0856,0
44,7500,21,3.9172,6,-0.0881,0
45,7100,34,3.9173,6,0.4764,0
46,2500,23.02916667,3.917,6,-1,0
47,2600,23.02916667,3.9169,6,-1,0
48,3700,23.02916667,3.9169,6,-1,0
49,8400,32,3.9173,6,0.3895,0
50,2700,48,3.9174,5,1.0843,0
51,6100,29,3.9176,6,0.2593,0
52,4900,36,3.9173,6,0.5632,0
53,2900,33,3.9172,3,0.433,0
54,2400,41,3.9172,0,0.7804,0
55,3800,23.02916667,3.9171,3,-1,0
56,9400,23.02916667,3.9171,3,-1,0
57,7800,33,3.9173,6,0.433,0
58,6500,42,3.9172,3,0.8238,0
59,6600,50,3.9173,6,1.1712,0
60,2400,29,3.9171,3,0.2593,0
61,5900,45,3.9173,6,0.954,0
62,6100,31,3.9173,6,0.3461,0
63,12300,20,3.9176,6,-0.1315,0
64,2900,23.02916667,3.9171,3,-1,0
65,4900,31,3.9173,3,0.3461,0
66,5000,46,3.9171,6,0.9975,0
67,6600,23.02916667,3.9171,3,-1,0
68,8200,30,3.9181,6,0.3027,0
69,5100,32,3.9173,3,0.3895,0
70,1900,23.02916667,3.9189,1,-1,0
71,7300,30,3.9171,6,0.3027,0
72,13300,29,3.9165,3,0.2593,0
73,6100,23.02916667,3.9172,6,-1,0
74,8700,30,3.9173,3,0.3027,0
75,7300,48,3.9173,6,1.0843,0
76,2900,23.02916667,3.9171,0,-1,0
77,6900,43,3.9171,3,0.8672,0
78,2500,27,3.9172,2,0.1724,0
79,4700,23.02916667,3.9171,3,-1,0
