m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation,num_his
0,2900,24.14245014,3.6304,6,-1,0
1,7200,24.14245014,3.6306,6,-1,0
2,1900,24.14245014,3.6364,1,-1,0
3,7400,43,3.6306,6,0.7811,0
4,3000,25,3.6364,6,0.0355,0
5,13800,99,3.6305,6,3.1007,0
6,7000,24.14245014,3.6305,0,-1,0
7,8400,24.14245014,3.6312,2,-1,0
8,5900,24.14245014,3.6303,2,-1,0
9,8900,63,3.6303,6,1.6095,0
10,16600,24.14245014,3.6305,6,-1,0
11,7300,24.14245014,3.6305,5,-1,0
12,3100,26,3.6355,1,0.0769,0
13,6500,24.14245014,3.6304,6,-1,0
14,8800,24.14245014,3.6303,6,-1,0
15,2800,24.14245014,3.6309,4,-1,0
16,4800,24.14245014,3.6389,5,-1,0
17,8900,24.14245014,3.6299,6,-1,0
18,7000,24.14245014,3.6303,0,-1,0
19,3600,24.14245014,3.6303,6,-1,0
20,2400,24.14245014,3.6303,6,-1,0
21,1700,24,3.632,2,-0.0059,0
22,2800,31,3.6311,6,0.284,0
23,18300,24.14245014,3.6303,6,-1,0
24,8900,24.14245014,3.6303,6,-1,0
25,4800,24.14245014,3.6302,6,-1,0
26,2900,24.14245014,3.6303,6,-1,0
27,13800,58,3.6303,6,1.4024,0
28,2600,27,3.6311,2,0.1184,0
29,7100,24.14245014,3.6381,3,-1,0
30,2100,54,3.6305,1,1.2367,0
31,5100,32,3.6311,1,0.3255,0
32,5600,31,3.632,6,0.284,0
33,3200,24.14245014,3.6304,6,-1,0
34,3800,28,3.6311,0,0.1598,0
35,2300,23,3.632,6,-0.0473,0
36,2200,59,3.6311,2,1.4438,0
37,3800,24.14245014,3.6305,6,-1,0
38,2400,34,3.6278,1,0.4083,0
39,5900,24,3.632,6,-0.0059,0
40,2600,39,3.6311,1,0.6154,0
41,2300,23,3.6311,0,-0.0473,0
42,4900,31,3.6311,1,0.284,0
43,2100,32,3.6306,2,0.3255,0
44,3100,24.14245014,3.6301,3,-1,0
45,3200,24.14245014,3.6304,6,-1,0
46,1900,32,3.632,6,0.3255,0
47,2500,23,3.6337,6,-0.0473,0
48,2600,21,3.6311,0,-0.1302,0
49,5800,57,3.6311,2,1.361,0
50,1900,17,3.6311,1,-0.2958,0
51,2500,27,3.6306,1,0.1184,0
52,2300,27,3.6311,3,0.1184,0
53,6700,26,3.6315,6,0.0769,0
54,6700,24.14245014,3.6304,0,-1,0
55,7700,26,3.6389,6,0.0769,0
56,2800,50,3.631,1,1.071,0
57,2700,30,3.6311,1,0.2426,0
58,7100,24.14245014,3.6364,1,-1,0
59,5200,30,3.632,1,0.2426,0
60,2200,43,3.6293,1,0.7811,0
61,4800,32,3.6311,1,0.3255,0
62,2300,31,3.6311,0,0.284,0
63,1800,46,3.6311,0,0.9054,0
64,2500,39,3.6303,6,0.6154,0
65,9100,34,3.6329,2,0.4083,0
66,5800,37,3.6304,5,0.5326,0
67,5000,24.14245014,3.6311,2,-1,0
68,2500,25,3.6346,2,0.0355,0
69,7000,24.14245014,3.6325,6,-1,0
70,3200,24.14245014,3.6306,6,-1,0
71,6100,32,3.6309,6,0.3255,0
72,2400,29,3.6311,0,0.2012,0
73,3900,33,3.6311,1,0.3669,0
74,3100,25,3.6303,6,0.0355,0
75,2500,20,3.6329,2,-0.1716,0
76,5400,35,3.6311,6,0.4497,0
77,9400,24.14245014,3.6389,4,-1,0
78,6900,46,3.6299,4,0.9054,0
79,2700,24,3.6337,2,-0.0059,0
80,2200,24.14245014,3.6372,1,-1,0
81,6200,24,3.632,1,-0.0059,0
82,2800,24,3.6303,6,-0.0059,0
83,2900,33,3.6306,1,0.3669,0
84,7900,24.14245014,3.6389,2,-1,0
85,2300,24.14245014,3.6303,2,-1,0
86,2500,23,3.6305,1,-0.0473,0
87,6500,40,3.6304,6,0.6568,0
88,5700,24.14245014,3.6364,1,-1,0
89,2600,20,3.6295,1,-0.1716,0
90,2400,20,3.632,2,-0.1716,0
91,5800,45,3.6304,6,0.8639,0
92,2700,24,3.6306,2,-0.0059,0
93,2900,28,3.6303,3,0.1598,0
94,8400,53,3.6306,6,1.1953,0
95,5600,19,3.6337,1,-0.213,0
96,1600,24.14245014,3.6297,6,-1,0
97,3300,72,3.6308,1,1.9823,0
98,1900,62,3.6304,1,1.5681,0
99,2200,24.14245014,3.63,1,-1,0
100,8400,53,3.6306,6,1.1953,0
101,5600,19,3.6337,1,-0.213,0
102,1600,24.14245014,3.6297,6,-1,0
103,3300,72,3.6308,1,1.9823,0
104,1900,62,3.6304,1,1.5681,0
105,2200,24.14245014,3.63,1,-1,0
106,2400,15,3.632,1,-0.3787,0
107,2500,27,3.6305,3,0.1184,0
108,4700,34,3.6307,6,0.4083,0
109,9200,24.14245014,3.6304,6,-1,0
110,2900,28,3.6329,2,0.1598,0
111,2900,25,3.6311,1,0.0355,0
112,6600,24.14245014,3.6305,4,-1,0
113,7100,24.14245014,3.6364,4,-1,0
114,4600,26,3.6329,1,0.0769,0
115,5000,24.14245014,3.6304,2,-1,0
116,2900,24.14245014,3.6303,6,-1,0
117,2700,31,3.6306,1,0.284,0
118,3100,24.14245014,3.6301,4,-1,0
119,9900,24.14245014,3.6302,0,-1,0
120,7000,40,3.6311,5,0.6568,0
121,2900,28,3.6329,2,0.1598,0
122,5200,21,3.632,1,-0.1302,0
123,2300,25,3.6306,2,0.0355,0
124,6800,19,3.6329,6,-0.213,0
125,2400,24.14245014,3.6301,2,-1,0
126,9300,41,3.6303,2,0.6983,0
127,4600,26,3.6329,1,0.0769,0
128,8300,29,3.6337,0,0.2012,0
129,2700,43,3.6305,0,0.7811,0
130,5400,24.14245014,3.6302,2,-1,0
131,6500,28,3.6329,0,0.1598,0
132,7900,24.14245014,3.6389,2,-1,0
133,8900,23,3.6381,0,-0.0473,0
134,3100,34,3.6311,1,0.4083,0
135,7400,32,3.6305,1,0.3255,0
136,6400,45,3.6304,5,0.8639,0
137,0,24.14245014,3.6306,1,-1,0
138,3000,24.14245014,3.6301,1,-1,0
139,12200,24.14245014,3.6304,6,-1,0
140,2000,24.14245014,3.6301,1,-1,0
141,6400,45,3.6304,5,0.8639,0
142,0,24.14245014,3.6306,1,-1,0
143,3000,24.14245014,3.6301,1,-1,0
144,12200,24.14245014,3.6304,6,-1,0
145,7600,24.14245014,3.6337,1,-1,0
146,7400,24.14245014,3.6301,6,-1,0
147,3000,46,3.6295,1,0.9054,0
148,9300,24.14245014,3.6304,6,-1,0
149,11800,24.14245014,3.6303,6,-1,0
150,5400,50,3.632,0,1.071,0
151,11400,24.14245014,3.6304,2,-1,0
152,2900,46,3.6298,6,0.9054,0
153,5300,26,3.6311,1,0.0769,0
154,1900,24.14245014,3.6302,2,-1,0
155,2600,24.14245014,3.63,6,-1,0
156,13900,75,3.6303,6,2.1066,0
157,2700,30,3.6284,6,0.2426,0
158,5500,22,3.632,2,-0.0887,0
159,6100,25,3.6346,1,0.0355,0
160,3600,36,3.6311,1,0.4911,0
161,3400,23,3.6306,1,-0.0473,0
162,1900,24.14245014,3.6295,6,-1,0
163,2700,25,3.6309,1,0.0355,0
164,5200,30,3.6293,2,0.2426,0
165,2700,25,3.6297,6,0.0355,0
166,5300,26,3.6311,1,0.0769,0
167,3000,23,3.6311,1,-0.0473,0
168,2600,24.14245014,3.63,0,-1,0
169,6400,51,3.6305,6,1.1125,0
170,25900,25,3.6299,1,0.0355,0
171,3400,24,3.6284,1,-0.0059,0
172,5800,23,3.6307,5,-0.0473,0
173,6500,44,3.6305,6,0.8225,0
174,4700,24.14245014,3.6302,0,-1,0
175,4800,32,3.6309,1,0.3255,0
176,0,24.14245014,3.631,1,-1,0
177,2700,25,3.6293,3,0.0355,0
178,7100,34,3.6308,0,0.4083,0
179,1800,24.14245014,3.6306,1,-1,0
180,17900,24.14245014,3.6305,6,-1,0
181,2400,24.14245014,3.6303,3,-1,0
182,20500,24.14245014,3.6304,6,-1,0
183,5600,21,3.6303,2,-0.1302,0
184,3400,24.14245014,3.63,1,-1,0
185,8400,24.14245014,3.6305,6,-1,0
186,7100,24.14245014,3.6298,0,-1,0
187,5800,102,3.6312,1,3.2249,0
188,9700,23,3.6308,2,-0.0473,0
189,6200,37,3.6311,2,0.5326,0
190,7800,33,3.6311,0,0.3669,0
191,5300,24,3.6306,1,-0.0059,0
192,8200,40,3.6309,6,0.6568,0
193,5400,24.14245014,3.6301,6,-1,0
194,13900,24.14245014,3.6299,6,-1,0
195,11300,54,3.6311,6,1.2367,0
196,6400,29,3.6307,1,0.2012,0
197,6600,60,3.6304,1,1.4852,0
198,26200,110,3.6302,1,3.5563,0
199,5400,24.14245014,3.63,6,-1,0
200,4900,36,3.631,1,0.4911,0
201,2600,24,3.6303,6,-0.0059,0
202,12200,34,3.6287,4,0.4083,0
203,11300,24.14245014,3.6303,6,-1,0
204,14100,24.14245014,3.6304,6,-1,0
205,3500,24.14245014,3.6302,1,-1,0
206,6900,24.14245014,3.6296,1,-1,0
