m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation,num_his
0,2500,16,4.0813,6,-0.0127,0
1,2800,17,4.0819,6,0.0491,0
2,2500,16,4.0817,6,-0.0127,0
3,6800,8,4.0817,6,-0.5063,0
4,4900,13,4.0826,6,-0.1978,0
5,2500,9,4.0819,6,-0.4446,0
6,5700,16,4.0828,6,-0.0127,0
7,2200,21,4.0824,4,0.2959,0
8,2200,22,4.0817,6,0.3576,0
9,2500,13,4.0828,6,-0.1978,0
10,1600,22,4.0828,6,0.3576,0
11,2500,16,4.0823,6,-0.0127,0
12,3000,13,4.0824,6,-0.1978,0
13,2200,12,4.0828,6,-0.2595,0
14,2700,15,4.0824,6,-0.0744,0
15,2100,13,4.083,6,-0.1978,0
16,2800,17,4.0826,6,0.0491,0
17,2700,18,4.0826,6,0.1108,0
18,2600,17,4.0828,6,0.0491,0
19,3100,14,4.0849,6,-0.1361,0
20,2400,10,4.0826,6,-0.3829,0
21,3700,16.205,4.0826,1,-1,0
22,2800,18,4.0828,6,0.1108,0
23,4800,16.205,4.0812,5,-1,0
24,7100,12,4.0824,6,-0.2595,0
25,1500,21,4.0828,6,0.2959,0
26,5000,16,4.0823,6,-0.0127,0
27,2400,13,4.0826,3,-0.1978,0
28,3200,22,4.0828,6,0.3576,0
29,5700,16,4.0828,6,-0.0127,0
30,3000,26,4.0815,3,0.6044,0
31,2800,21,4.0826,4,0.2959,0
32,4800,16,4.0824,6,-0.0127,0
33,4800,19,4.0823,1,0.1725,0
34,2200,20,4.0826,6,0.2342,0
35,7000,16,4.0815,6,-0.0127,0
36,7200,12,4.0824,6,-0.2595,0
37,5400,16,4.0828,6,-0.0127,0
38,5600,12,4.0826,6,-0.2595,0
39,5600,16,4.0823,6,-0.0127,0
40,2600,12,4.0832,2,-0.2595,0
41,2500,18,4.0829,1,0.1108,0
42,2900,17,4.0828,6,0.0491,0
43,3500,14,4.0829,6,-0.1361,0
44,3200,19,4.0828,2,0.1725,0
45,6000,16,4.0823,2,-0.0127,0
46,4700,12,4.0828,6,-0.2595,0
47,2300,17,4.0831,3,0.0491,0
48,6300,12,4.0828,6,-0.2595,0
49,2800,13,4.0828,3,-0.1978,0
50,2200,16.205,4.0815,3,-1,0
51,2700,17,4.0829,6,0.0491,0
52,6300,17,4.0828,6,0.0491,0
53,6600,20,4.0826,6,0.2342,0
54,5600,17,4.0826,5,0.0491,0
55,6200,20,4.0824,6,0.2342,0
56,7300,15,4.0829,6,-0.0744,0
57,5900,24,4.0826,6,0.481,0
58,6000,14,4.083,6,-0.1361,0
59,5300,20,4.0828,6,0.2342,0
60,1900,16.205,4.0817,1,-1,0
61,7000,13,4.0826,6,-0.1978,0
62,6500,21,4.0817,3,0.2959,0
63,7100,25,4.0817,1,0.5427,0
64,4600,16,4.0828,2,-0.0127,0
65,5900,17,4.0826,6,0.0491,0
66,2800,19,4.0828,6,0.1725,0
67,8400,15,4.0828,6,-0.0744,0
