m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation,num_his
0,2500,20,3.7274,6,0.0705,0
1,3000,17,3.7226,6,-0.0901,0
2,2600,18.68341709,3.7232,6,-1,0
3,2500,21,3.7226,6,0.124,0
4,2400,20,3.7206,6,0.0705,0
5,2400,19,3.7196,6,0.0169,0
6,3500,15,3.7178,6,-0.1971,0
7,2500,18.68341709,3.7196,6,-1,0
8,2400,22,3.7192,6,0.1775,0
9,2500,23,3.7206,6,0.231,0
10,2400,21,3.7196,6,0.124,0
11,1900,17,3.7196,2,-0.0901,0
12,3000,23,3.7192,6,0.231,0
13,2400,15,3.7206,4,-0.1971,0
14,2800,19,3.7173,4,0.0169,0
15,2300,17,3.7196,3,-0.0901,0
16,2100,25,3.716,2,0.3381,0
17,3000,19,3.7196,1,0.0169,0
18,2300,32,3.7195,3,0.7127,0
19,5600,24,3.7226,6,0.2846,0
20,2400,21,3.7265,3,0.124,0
21,6400,17,3.7196,6,-0.0901,0
22,3500,15,3.7178,1,-0.1971,0
23,5200,19,3.7216,5,0.0169,0
24,3400,18,3.718,4,-0.0366,0
25,2900,19,3.7196,2,0.0169,0
26,2600,26,3.7192,2,0.3916,0
27,4100,21,3.719,1,0.124,0
28,2300,16,3.7196,3,-0.1436,0
29,5600,24,3.7206,6,0.2846,0
30,5200,18,3.7216,4,-0.0366,0
31,6300,24,3.7187,6,0.2846,0
32,4800,17,3.7206,4,-0.0901,0
33,2300,24,3.7189,2,0.2846,0
34,3000,37,3.7236,3,0.9804,0
35,6400,21,3.7236,6,0.124,0
36,1600,36,3.7218,3,0.9268,0
37,2400,24,3.7196,3,0.2846,0
38,2500,20,3.7196,1,0.0705,0
39,2700,34,3.7204,1,0.8198,0
40,3600,19,3.7196,2,0.0169,0
41,2900,27,3.7175,3,0.4451,0
42,5400,21,3.7196,6,0.124,0
43,2500,28,3.7206,1,0.4987,0
44,5600,19,3.7206,6,0.0169,0
45,5900,21,3.7226,2,0.124,0
46,3600,36,3.7196,2,0.9268,0
47,3000,21,3.7195,5,0.124,0
48,2300,25,3.719,1,0.3381,0
49,5900,16,3.719,0,-0.1436,0
50,6200,16,3.7173,0,-0.1436,0
51,1700,16,3.7195,4,-0.1436,0
52,2500,20,3.7196,0,0.0705,0
53,8600,22,3.7274,6,0.1775,0
54,9000,24,3.7206,6,0.2846,0
55,3900,33,3.7196,2,0.7663,0
56,8700,18,3.7284,6,-0.0366,0
57,3700,17,3.7192,6,-0.0901,0
58,2300,23,3.7206,1,0.231,0
59,2000,25,3.7189,1,0.3381,0
60,3100,19,3.7206,0,0.0169,0
61,9000,24,3.7206,6,0.2846,0
62,2700,19,3.7216,0,0.0169,0
63,3900,33,3.7196,2,0.7663,0
64,8700,18,3.7284,6,-0.0366,0
65,3700,17,3.7192,6,-0.0901,0
66,4700,22,3.7236,0,0.1775,0
67,2400,22,3.7196,0,0.1775,0
68,2300,23,3.7206,1,0.231,0
69,2000,25,3.7189,1,0.3381,0
70,11600,22,3.7196,6,0.1775,0
71,5500,21,3.7192,1,0.124,0
72,2600,29,3.7174,0,0.5522,0
73,5500,19,3.7196,1,0.0169,0
74,4600,19,3.7236,0,0.0169,0
75,3100,18.68341709,3.7182,1,-1,0
76,7900,21,3.7226,2,0.124,0
77,6300,18.68341709,3.719,6,-1,0
78,2300,18.68341709,3.7182,1,-1,0
79,6900,18.68341709,3.7183,3,-1,0
80,3600,18,3.7189,6,-0.0366,0
81,5800,56,3.7206,2,1.9973,0
82,5000,20,3.7178,1,0.0705,0
83,2600,29,3.7174,0,0.5522,0
84,4600,19,3.7236,0,0.0169,0
85,2900,17,3.7196,1,-0.0901,0
86,2200,18.68341709,3.7188,1,-1,0
87,2700,26,3.7188,0,0.3916,0
88,13600,20,3.7274,2,0.0705,0
89,8700,17,3.7181,6,-0.0901,0
90,2700,19,3.719,6,0.0169,0
91,3800,13,3.7174,6,-0.3042,0
92,3600,20,3.7189,6,0.0705,0
93,6200,28,3.7192,2,0.4987,0
94,11500,25,3.7189,6,0.3381,0
95,2600,18.68341709,3.7194,2,-1,0
96,5500,22,3.7206,1,0.1775,0
97,10100,21,3.7187,6,0.124,0
98,2300,18,3.7189,2,-0.0366,0
99,7300,43,3.717,1,1.3015,0
100,6900,19,3.7226,1,0.0169,0
101,6300,39,3.7189,3,1.0874,0
102,3100,26,3.7173,1,0.3916,0
103,6100,30,3.7193,1,0.6057,0
104,7000,37,3.7186,1,0.9804,0
105,3300,20,3.7193,6,0.0705,0
106,13400,18.68341709,3.7191,6,-1,0
107,5600,21,3.7193,1,0.124,0
108,1500,18.68341709,3.7186,1,-1,0
109,11600,25,3.7193,6,0.3381,0
110,5800,18.68341709,3.7226,1,-1,0
111,3700,18.68341709,3.7186,1,-1,0
112,4700,19,3.7146,2,0.0169,0
113,4800,38,3.7191,2,1.0339,0
114,5800,45,3.7188,1,1.4086,0
115,12800,23,3.7274,6,0.231,0
116,3700,18.68341709,3.7185,0,-1,0
117,5000,18.68341709,3.7188,1,-1,0
118,12100,18,3.7196,6,-0.0366,0
119,2500,19,3.7187,1,0.0169,0
120,6600,14,3.719,6,-0.2507,0
121,7000,32,3.7204,1,0.7127,0
122,10500,38,3.7196,0,1.0339,0
123,3200,18.68341709,3.7185,6,-1,0
124,6800,21,3.72,1,0.124,0
