m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation,num_his
0,2800,19,3.7934,6,-0.1983,0
1,2400,19,3.7923,4,-0.1983,0
2,2400,22,3.7927,6,-0.0717,0
3,7700,26,3.7985,5,0.097,0
4,3000,20,3.7936,6,-0.1561,0
5,3100,18,3.7927,6,-0.2405,0
6,3500,20,3.7934,6,-0.1561,0
7,2400,16,3.7926,4,-0.3249,0
8,2500,20,3.7979,6,-0.1561,0
9,2400,15,3.7934,5,-0.3671,0
10,3000,25,3.7966,6,0.0549,0
11,2400,21,3.7972,6,-0.1139,0
12,4600,19,3.7953,6,-0.1983,0
13,2900,23.7,3.7923,6,-1,0
14,1900,23.7,3.7966,3,-1,0
15,4800,32,3.7927,3,0.3502,0
16,2400,26,3.7953,3,0.097,0
17,2400,21,3.7921,6,-0.1139,0
18,2400,29,3.7927,3,0.2236,0
19,2300,24,3.7921,1,0.0127,0
20,2500,25,3.7953,3,0.0549,0
21,3000,20,3.7936,6,-0.1561,0
22,2900,23.7,3.7923,3,-1,0
23,3700,20,3.794,6,-0.1561,0
24,2300,35,3.7926,1,0.4768,0
25,3000,19,3.7927,6,-0.1983,0
26,3500,20,3.7934,6,-0.1561,0
27,2300,22,3.794,2,-0.0717,0
28,2600,20,3.7927,6,-0.1561,0
29,2900,19,3.7927,3,-0.1983,0
30,4800,21,3.7927,6,-0.1139,0
31,2600,17,3.7925,4,-0.2827,0
32,2300,21,3.7927,1,-0.1139,0
33,2300,17,3.7927,2,-0.2827,0
34,2000,19,3.794,6,-0.1983,0
35,2300,18,3.7947,6,-0.2405,0
36,3800,28,3.7927,6,0.1814,0
37,2700,23.7,3.7932,2,-1,0
38,2300,23,3.7927,4,-0.0295,0
39,2800,50,3.7927,1,1.1097,0
40,2500,18,3.7927,6,-0.2405,0
41,2600,21,3.7927,1,-0.1139,0
42,2400,33,3.7934,4,0.3924,0
43,1600,23.7,3.7919,1,-1,0
44,3200,22,3.7927,6,-0.0717,0
45,2900,33,3.7923,1,0.3924,0
46,6600,38,3.7927,1,0.6034,0
47,5900,21,3.7927,6,-0.1139,0
48,2600,19,3.7927,6,-0.1983,0
49,6800,20,3.794,1,-0.1561,0
50,2500,17,3.7927,3,-0.2827,0
51,3000,23,3.7925,3,-0.0295,0
52,2900,24,3.7926,1,0.0127,0
53,2700,26,3.7922,1,0.097,0
54,2500,20,3.7927,2,-0.1561,0
55,3100,19,3.7934,0,-0.1983,0
56,7100,17,3.7985,3,-0.2827,0
57,2600,29,3.791,4,0.2236,0
58,1800,23.7,3.7923,1,-1,0
59,3600,36,3.7927,2,0.519,0
60,2500,18,3.7934,6,-0.2405,0
61,2200,43,3.7909,2,0.8143,0
62,1700,35,3.7927,6,0.4768,0
63,1500,26,3.7918,1,0.097,0
64,3700,18,3.7896,6,-0.2405,0
65,2600,38,3.7925,1,0.6034,0
66,2000,23.7,3.7919,1,-1,0
67,4000,16,3.7934,1,-0.3249,0
