m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation,num_his
0,3000,17,4.0799,6,-0.1198,0
1,2400,21,4.0797,6,0.0873,0
2,2500,20,4.0797,6,0.0355,0
3,2500,21,4.0799,6,0.0873,0
4,2600,19.31428571,4.0804,3,-1,0
5,2700,18,4.08,1,-0.068,0
6,5200,19,4.0799,6,-0.0163,0
7,4800,19.31428571,4.0797,6,-1,0
8,2400,19,4.08,3,-0.0163,0
9,2300,17,4.08,2,-0.1198,0
10,2800,19,4.0799,1,-0.0163,0
11,2400,19.31428571,4.0801,3,-1,0
12,7900,19.31428571,4.0797,6,-1,0
13,4700,20,4.0799,1,0.0355,0
14,9400,19.31428571,4.0797,6,-1,0
15,2400,16,4.08,1,-0.1716,0
16,2500,23,4.0799,6,0.1908,0
17,2300,24,4.08,1,0.2426,0
18,2300,19,4.0799,5,-0.0163,0
19,7100,19.31428571,4.0797,4,-1,0
20,2300,19,4.0799,5,-0.0163,0
21,7100,19.31428571,4.0797,4,-1,0
22,2400,20,4.0797,2,0.0355,0
23,2500,23,4.0799,3,0.1908,0
24,3000,23,4.0799,5,0.1908,0
25,7500,17,4.0799,6,-0.1198,0
26,2500,29,4.08,6,0.5015,0
27,2100,25,4.0796,6,0.2944,0
28,2700,26,4.08,1,0.3462,0
29,5600,27,4.0799,6,0.3979,0
30,1900,19.31428571,4.08,0,-1,0
31,2900,19,4.08,4,-0.0163,0
32,2500,21,4.08,1,0.0873,0
33,2600,26,4.08,6,0.3462,0
34,3000,20,4.0801,0,0.0355,0
35,6400,17,4.08,1,-0.1198,0
36,2400,22,4.08,0,0.1391,0
37,5200,18,4.0799,6,-0.068,0
38,2900,21,4.08,0,0.0873,0
39,2500,25,4.0798,1,0.2944,0
40,2300,27,4.08,2,0.3979,0
41,6400,21,4.0798,1,0.0873,0
42,2100,33,4.0799,3,0.7086,0
43,2400,19,4.08,0,-0.0163,0
44,5600,24,4.0799,1,0.2426,0
45,4600,19,4.0798,1,-0.0163,0
46,2500,20,4.08,1,0.0355,0
47,5900,20,4.0799,4,0.0355,0
48,4700,28,4.0798,2,0.4497,0
49,3500,15,4.0799,1,-0.2234,0
50,7100,19.31428571,4.0798,6,-1,0
51,4800,17,4.0799,6,-0.1198,0
52,1700,16,4.08,3,-0.1716,0
53,0,19.31428571,4.08,1,-1,0
54,3300,19.31428571,4.0799,1,-1,0
55,3300,20,4.08,1,0.0355,0
56,0,19.31428571,4.0802,1,-1,0
57,2500,20,4.08,0,0.0355,0
58,5300,21,4.08,6,0.0873,0
59,5300,23,4.0798,4,0.1908,0
60,3700,20,4.0799,2,0.0355,0
61,3100,18,4.08,0,-0.068,0
62,8600,20,4.08,6,0.0355,0
63,2300,19,4.08,0,-0.0163,0
64,2400,19,4.0798,0,-0.0163,0
65,2700,26,4.08,3,0.3462,0
66,2700,19,4.0799,0,-0.0163,0
67,2600,20,4.08,0,0.0355,0
68,2500,20,4.0799,0,0.0355,0
69,3200,21,4.08,1,0.0873,0
70,3300,20,4.08,2,0.0355,0
71,2400,21,4.0799,0,0.0873,0
72,3700,17,4.08,2,-0.1198,0
73,5000,18,4.08,1,-0.068,0
74,9500,19,4.0798,1,-0.0163,0
75,5300,29,4.0799,0,0.5015,0
76,6300,21,4.0798,2,0.0873,0
77,9100,19,4.0799,6,-0.0163,0
78,2400,22,4.08,1,0.1391,0
79,6500,22,4.0799,1,0.1391,0
80,8600,22,4.0797,1,0.1391,0
81,6200,24,4.0796,4,0.2426,0
82,3600,36,4.08,6,0.8639,0
83,13600,20,4.0797,1,0.0355,0
84,3200,19.31428571,4.08,2,-1,0
85,2500,23,4.0799,1,0.1908,0
86,2400,24,4.08,0,0.2426,0
87,2000,22,4.08,1,0.1391,0
88,0,19.31428571,4.0797,1,-1,0
89,2100,20,4.08,3,0.0355,0
90,2100,24,4.0818,6,0.2426,0
91,3000,14,4.08,6,-0.2751,0
92,2400,14,4.0798,1,-0.2751,0
93,2200,39,4.0799,1,1.0192,0
94,2100,15,4.0793,5,-0.2234,0
95,3600,42,4.08,1,1.1746,0
96,3700,19.31428571,4.08,6,-1,0
97,6200,50,4.08,1,1.5888,0
98,2200,14,4.08,2,-0.2751,0
99,7200,38,4.08,1,0.9675,0
100,10200,19.31428571,4.08,1,-1,0
101,2100,15,4.0793,5,-0.2234,0
102,3600,42,4.08,1,1.1746,0
103,3700,19.31428571,4.08,6,-1,0
104,6200,50,4.08,1,1.5888,0
105,2200,14,4.08,2,-0.2751,0
106,7200,38,4.08,1,0.9675,0
107,2800,22,4.0798,1,0.1391,0
108,5600,66,4.08,6,2.4172,0
109,2500,18,4.08,1,-0.068,0
110,2800,19.31428571,4.08,0,-1,0
111,7500,25,4.0798,1,0.2944,0
112,2900,41,4.08,1,1.1228,0
113,4800,38,4.08,1,0.9675,0
114,3200,25,4.0799,1,0.2944,0
115,2900,17,4.08,6,-0.1198,0
116,7600,39,4.08,1,1.0192,0
117,9000,24,4.0799,2,0.2426,0
118,7300,43,4.0797,6,1.2263,0
119,3400,31,4.08,1,0.605,0
120,1700,55,4.0797,1,1.8476,0
121,3900,33,4.08,1,0.7086,0
122,2100,53,4.08,1,1.7441,0
123,7600,25,4.08,4,0.2944,0
124,3000,29,4.08,1,0.5015,0
125,10300,33,4.08,1,0.7086,0
126,6300,24,4.08,3,0.2426,0
127,4800,26,4.0801,1,0.3462,0
128,12800,23,4.0797,1,0.1908,0
129,5800,56,4.0799,1,1.8994,0
130,9800,17,4.08,1,-0.1198,0
131,3600,19.31428571,4.08,3,-1,0
132,1800,26,4.0801,1,0.3462,0
133,2200,39,4.0799,2,1.0192,0
134,4700,22,4.0798,0,0.1391,0
135,6400,48,4.08,1,1.4852,0
136,6300,37,4.08,1,0.9157,0
137,27000,19.31428571,4.08,1,-1,0
138,2500,25,4.0799,0,0.2944,0
139,2300,19.31428571,4.08,4,-1,0
140,6100,45,4.08,1,1.3299,0
141,5900,21,4.08,1,0.0873,0
142,5600,19,4.0799,1,-0.0163,0
143,5900,19.31428571,4.08,6,-1,0
144,3400,19.31428571,4.0799,1,-1,0
145,11400,19.31428571,4.08,1,-1,0
146,11300,19.31428571,4.0797,1,-1,0
147,8100,20,4.0799,1,0.0355,0
148,4700,21,4.08,6,0.0873,0
149,3700,19.31428571,4.08,0,-1,0
150,2900,19.31428571,4.08,5,-1,0
151,2500,28,4.08,1,0.4497,0
152,8600,28,4.0799,1,0.4497,0
