m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation,num_his
0,3000,25,4.0925,6,0.0814,0
1,2400,22,4.0939,0,-0.0483,0
2,2400,21,4.0923,2,-0.0916,0
3,2300,35,4.094,2,0.514,0
4,8100,23,4.0925,6,-0.0051,0
5,2400,19,4.094,0,-0.1781,0
6,2300,31,4.0939,6,0.341,0
7,2300,23,4.0939,3,-0.0051,0
8,3600,36,4.0939,1,0.5573,0
9,3800,28,4.0939,6,0.2112,0
10,3700,23.11715481,4.0937,1,-1,0
11,2300,32,4.0939,3,0.3843,0
12,8400,19,4.093,6,-0.1781,0
13,2900,19,4.0939,1,-0.1781,0
14,2400,29,4.0939,5,0.2545,0
15,2500,21,4.0932,3,-0.0916,0
16,2600,39,4.0939,0,0.6871,0
17,2500,27,4.0941,1,0.168,0
18,2500,20,4.0921,0,-0.1348,0
19,2500,25,4.093,5,0.0814,0
20,2500,27,4.0941,1,0.168,0
21,4800,32,4.0939,1,0.3843,0
22,2400,21,4.0939,1,-0.0916,0
23,4600,19,4.093,0,-0.1781,0
24,3900,33,4.0939,6,0.4275,0
25,2500,24,4.0937,3,0.0382,0
26,2400,31,4.0939,2,0.341,0
27,2500,20,4.0939,0,-0.1348,0
28,7900,23.11715481,4.0919,3,-1,0
29,2600,21,4.0939,4,-0.0916,0
30,8400,19,4.093,6,-0.1781,0
31,7300,24,4.0923,1,0.0382,0
32,2400,23,4.0937,0,-0.0051,0
33,7100,18,4.0932,6,-0.2214,0
34,2500,25,4.0939,0,0.0814,0
35,7100,23.11715481,4.0921,5,-1,0
36,2500,28,4.0937,2,0.2112,0
37,4900,31,4.0939,3,0.341,0
38,2100,25,4.0937,1,0.0814,0
39,1800,46,4.0939,0,0.9899,0
40,2500,28,4.0937,2,0.2112,0
41,2100,25,4.0937,1,0.0814,0
42,1800,46,4.0939,0,0.9899,0
43,2900,25,4.0939,2,0.0814,0
44,2000,21,4.094,1,-0.0916,0
45,13600,20,4.0921,1,-0.1348,0
46,5100,32,4.0939,3,0.3843,0
47,9400,23.11715481,4.0919,1,-1,0
48,2700,24,4.0939,0,0.0382,0
49,1900,46,4.0937,0,0.9899,0
50,6400,29,4.094,4,0.2545,0
51,7700,26,4.0919,6,0.1247,0
52,7100,23.11715481,4.0925,6,-1,0
