m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation,num_his
0,2400,24,4.4888,6,-0.0041,0
1,2500,24.1,4.493,6,-1,0
2,2700,24,4.4916,6,-0.0041,0
3,3000,25,4.4916,6,0.0373,0
4,3200,25,4.4902,6,0.0373,0
5,2100,21,4.4924,6,-0.1286,0
6,4700,19,4.4916,6,-0.2116,0
7,2500,28,4.4902,6,0.1618,0
8,2900,24,4.4922,6,-0.0041,0
9,2900,22,4.4916,6,-0.0871,0
10,2800,27,4.4916,6,0.1203,0
11,2500,24,4.4902,6,-0.0041,0
12,2400,23,4.4902,6,-0.0456,0
13,3000,25,4.4833,1,0.0373,0
14,2500,26,4.4926,6,0.0788,0
15,2500,25,4.4922,6,0.0373,0
16,2400,18,4.4916,6,-0.2531,0
17,2800,19,4.4902,4,-0.2116,0
18,2500,21,4.4916,6,-0.1286,0
19,2500,25,4.4793,6,0.0373,0
20,2200,39,4.4902,6,0.6183,0
21,2500,24.1,4.4926,6,-1,0
22,2600,27,4.4916,2,0.1203,0
23,5800,25,4.4916,6,0.0373,0
24,2500,25,4.4916,5,0.0373,0
25,1900,24.1,4.4833,4,-1,0
26,2500,20,4.4926,3,-0.1701,0
27,4800,29,4.4902,6,0.2033,0
28,2700,37,4.4944,6,0.5353,0
29,1200,45,4.4916,6,0.8672,0
30,3500,25,4.4902,6,0.0373,0
31,3900,24,4.4902,6,-0.0041,0
32,6200,25,4.4916,6,0.0373,0
33,7100,22,4.4923,6,-0.0871,0
34,6400,31,4.4902,6,0.2863,0
35,3200,25,4.4916,5,0.0373,0
36,6600,14,4.4916,6,-0.4191,0
37,5600,25,4.4916,5,0.0373,0
38,3000,17,4.4874,2,-0.2946,0
39,2300,30,4.4902,5,0.2448,0
40,3700,24.1,4.4902,2,-1,0
41,2400,22,4.4916,1,-0.0871,0
42,7100,22,4.4923,6,-0.0871,0
43,5300,21,4.4916,6,-0.1286,0
44,2600,19,4.4888,3,-0.2116,0
45,2600,27,4.4922,3,0.1203,0
46,1600,24.1,4.493,6,-1,0
47,2500,23,4.4902,2,-0.0456,0
48,7100,18,4.4874,2,-0.2531,0
49,2300,32,4.4916,1,0.3278,0
50,2800,28,4.4902,1,0.1618,0
51,3000,26,4.482,1,0.0788,0
52,5500,26,4.4916,6,0.0788,0
53,1900,17,4.4916,2,-0.2946,0
54,2600,40,4.4916,1,0.6598,0
55,2800,30,4.492,4,0.2448,0
56,2500,27,4.4926,1,0.1203,0
57,6500,20,4.4902,6,-0.1701,0
58,2400,19,4.4924,1,-0.2116,0
