m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation
0,3.1,20,4.6311,3,-0.0244
1,3.4,23,4.6761,8,0.122
2,3.1,23,4.6842,4,0.122
3,5.3,18,4.6761,9,-0.122
4,5.7,19,4.6681,5,-0.0732
5,3.5,17,4.6681,5,-0.1707
6,6.2,24,4.6962,6,0.1707
7,2.6,23,4.6528,6,0.122
8,2.9,21,4.6382,3,0.0244
9,3.2,16,4.6681,6,-0.2195
10,3.1,20,4.6604,6,-0.0244
11,8.0,16,4.6528,11,-0.2195
12,2.6,22,4.6842,6,0.0732
13,3.5,20,4.6842,4,-0.0244
14,2.0,23,4.6761,9,0.122
15,3.3,0,4.694,6,-1.0
16,3.6,26,4.6842,5,0.2683
17,3.1,25,4.6867,3,0.2195
18,2.9,27,4.6842,6,0.3171
19,6.2,23,4.6604,5,0.122
20,1.9,21,4.6761,8,0.0244
21,3.5,17,4.6842,2,-0.1707
22,3.4,22,4.685,3,0.0732
23,3.2,18,4.6761,3,-0.122
24,3.0,19,4.6842,5,-0.0732
25,6.6,18,4.6842,7,-0.122
26,6.4,25,4.6681,4,0.2195
27,3.5,14,4.6842,3,-0.3171
28,4.1,17,4.6875,8,-0.1707
29,2.9,26,4.6944,5,0.2683
30,2.5,17,4.6761,7,-0.1707
31,2.9,23,4.6917,3,0.122
32,3.0,23,4.6761,8,0.122
33,6.7,24,4.6761,3,0.1707
34,2.5,32,4.6761,4,0.561
35,2.9,19,4.6761,4,-0.0732
36,2.5,14,4.6908,9,-0.3171
37,3.0,20,4.6761,2,-0.0244
38,6.2,21,4.6842,9,0.0244
39,6.4,24,4.685,8,0.1707
