m_id,m_tag,m_name,distance,consumption_pp,rank,number_comment,number_disounts,delivery_time,delivery_cost,min_delivery_cost
1033168544551045,1,木屋烧烤（颐安都会店）,2.2km,人均 ¥47,4.5,月售1000+,1,40分钟,配送 ¥5,起送 ¥30
1123027850306988,1,木屋烧烤（大运京基御景店）,3.3km,人均 ¥47,4.7,月售2000+,2,40分钟,配送 ¥6.4,起送 ¥30
863435732003923,1,百步香烧烤.小龙虾.生蚝（龙岗店）,3.5km,人均 ¥24,4.4,月售7000+,9,40分钟,免配送费,起送 ¥20
1019149771291721,1,黑色经典（臭豆腐、炸串）,4.0km,人均 ¥23,4.9,月售600+,5,35分钟,配送 ¥2.7,起送 ¥20
1012595651204725,1,川藏手撕烤兔（深圳龙岗分店）,9.1km,,5.0,月售200+,3,57分钟,免配送费,起送 ¥0
873468775627322,1,烧烤研究所•龙虾•海鲜（深圳南联社区店）,8.2km,人均 ¥26,4.7,月售10000+,7,70分钟,免配送费,起送 ¥69
1066132418567874,1,壹宾犟人烧烤研究所（南联店）,8.9km,人均 ¥29,4.7,月售4000+,6,57分钟,配送 ¥4.99,起送 ¥89.99
1107235255604378,1,尹和文老长沙臭豆腐烤冷面（天光城店）,3.3km,人均 ¥23,4.9,月售1000+,4,35分钟,配送 ¥1.4,起送 ¥20
1037450626981426,1,京科进京赶烤·烧烤·海鲜·龙虾（深圳龙岗店）,7.5km,人均 ¥23,4.7,月售7000+,6,64分钟,免配送费,起送 ¥69
938795228198683,1,夜香来烧烤•小龙虾•生蚝,6.7km,人均 ¥24,4.6,月售8000+,9,55分钟,配送 ¥0.9,起送 ¥40
983149355448931,1,炭鲜烧烤（烧烤·生蚝·小龙虾）,3.0km,人均 ¥39,4.8,月售1000+,7,63分钟,配送 ¥3.9,起送 ¥48
897228534688022,1,如意烧烤（小龙虾）,2.9km,人均 ¥30,4.6,月售1000+,5,40分钟,免配送费,起送 ¥26
1005066573561668,1,蠔大爷·海鲜烧烤·小龙虾（爱联店）,2.9km,人均 ¥23,4.7,月售1000+,5,40分钟,免配送费,起送 ¥20
862353400261564,1,烣太郎烧烤(横岗店·小炒·小龙虾),5.9km,人均 ¥27,4.9,月售3000+,4,53分钟,免配送费,起送 ¥30
877325656248188,1,京科进京赶烤·烧烤·龙虾·海鲜（深圳爱联店）,4.3km,人均 ¥26,4.9,月售300+,6,42分钟,免配送费,起送 ¥39
1110976172108672,1,肖氏羊庄,3.1km,人均 ¥42,4.5,月售300+,2,40分钟,免配送费,起送 ¥20
988032733244500,1,夜香来烧烤.生蚝.小龙虾（龙岗店）,9.5km,人均 ¥23,4.6,月售10000+,9,70分钟,配送 ¥3.9,起送 ¥70
936905442570266,1,串夜友到烧烤店（爱联店）,4.2km,人均 ¥29,4.9,月售300+,4,49分钟,免配送费,起送 ¥35
996493818797474,1,好朋友新疆羊肉串(天安数码店）,3.7km,人均 ¥35,4.0,月售100+,3,40分钟,免配送费,起送 ¥30
919648263939727,1,醉人间烧烤·生蚝·小龙虾,3.2km,人均 ¥21,4.8,月售700+,8,40分钟,免配送费,起送 ¥0
919648263939727,1,醉人间烧烤·生蚝·小龙虾,3.2km,人均 ¥21,4.8,月售700+,8,40分钟,免配送费,起送 ¥0
1053140142517972,1,李家木屋烧烤店（爱联店）,3.2km,,4.3,月售300+,3,40分钟,配送 ¥3.6,起送 ¥20
1054140869887137,1,烧鸡匠（烧鸡.烧烤.小龙虾.爱联店）,2.9km,人均 ¥28,4.8,月售1000+,6,49分钟,配送 ¥1,起送 ¥19.8
1103730562243498,1,木屋烤吧（烧烤·横岗店）,6.0km,人均 ¥38,4.8,月售1000+,10,50分钟,配送 ¥8.2,起送 ¥20
1069607047134131,1,正新鸡排.炸鸡.烧烤（中心城店）,6.1km,人均 ¥23,4.5,月售400+,5,40分钟,配送 ¥5.7,起送 ¥20
1044773546193379,1,木屋烧烤（龙岗吉祥里店）,6.0km,人均 ¥51,4.8,月售2000+,2,45分钟,配送 ¥9.9,起送 ¥30
1111332654395478,1,探鱼·鲜青椒爽麻烤鱼（深圳龙岗cocopark店）,2.6km,人均 ¥52,4.9,月售1000+,4,29分钟,配送 ¥5.7,起送 ¥30
1094419073189957,1,香辣小龙虾（星河Copark店),2.5km,人均 ¥46,4.9,月售2000+,10,37分钟,配送 ¥3,起送 ¥0
911728344293382,1,燚东北泥炉烤肉（天光城店）,3.3km,,5.0,月售200+,6,45分钟,免配送费,起送 ¥28
988848777050003,1,中国新疆烤肉(爱联店),2.6km,人均 ¥38,4.3,月售200+,3,50分钟,免配送费,起送 ¥20
890751724007959,1,探唐烧烤（烧烤·海鲜·银信店）,6.4km,人均 ¥39,4.7,月售1000+,8,60分钟,配送 ¥7.7,起送 ¥20
1071741645837037,1,钟哥烧烤店（横岗店）,7.6km,人均 ¥30,4.7,月售4000+,3,57分钟,配送 ¥10.5,起送 ¥38
896429670769584,1,大汗烧烤·碳烤羊腿(南联店),9.7km,人均 ¥46,4.9,月售2000+,4,70分钟,配送 ¥10.2,起送 ¥40
1093336741425880,1,木屋烧烤（横岗新光店）,6.0km,人均 ¥49,4.7,月售1000+,2,50分钟,配送 ¥10.7,起送 ¥30
868787261261837,1,林记烧烤,4.3km,人均 ¥28,4.5,月售1000+,9,40分钟,免配送费,起送 ¥20
979855115518388,1,蒙古炭烤鸡烤肉手撕大排骨,2.9km,人均 ¥35,4.8,月售800+,5,40分钟,配送 ¥1,起送 ¥10
1010349383312167,1,秘觉（牛蛙·烤鱼·烧烤·龙城公园店）,5.5km,人均 ¥30,4.8,月售1000+,6,47分钟,配送 ¥4,起送 ¥0
981796440747129,1,小杨特色烧烤,4.4km,人均 ¥33,4.5,月售1000+,4,40分钟,配送 ¥3.2,起送 ¥20
1068224067619874,1,三味真火烤排骨·烤猪蹄（龙岗分店）,5.4km,人均 ¥38,4.9,月售1000+,8,60分钟,配送 ¥3.9,起送 ¥0
1125677845175119,1,木屋烧烤（万科天誉店）,6.5km,人均 ¥45,4.5,月售1000+,2,50分钟,配送 ¥10.7,起送 ¥30
