m_id,m_tag,m_name,distance,consumption_pp,rank,number_comment,number_disounts,delivery_time,delivery_cost,min_delivery_cost
921933186542270,6,禄茗广式茶点·炒粉·肠粉·粥(爱联店),3.1km,人均 ¥20,4.9,月售8000+,3,29分钟,免配送费,起送 ¥15
1078725262644160,6,粥员外（御景中央店）,3.4km,人均 ¥23,4.7,月售2000+,8,35分钟,配送 ¥0.9,起送 ¥20
1034426969994344,6,深夜豆浆,3.1km,人均 ¥23,4.0,月售1000+,4,29分钟,配送 ¥1.3,起送 ¥20
1043321847245799,6,拇指生煎包大骨牛肉汤（粥.万科店）,5.3km,人均 ¥18,4.4,月售2000+,9,40分钟,配送 ¥4.2,起送 ¥15
879327110964131,6,三叔粥铺（龙城店）,5.7km,人均 ¥19,4.6,月售3000+,5,40分钟,配送 ¥2.3,起送 ¥20
1030784837738517,6,小禾豆浆·肠粉·粥点·汤粉（爱联店）,3.5km,人均 ¥17,4.8,月售3000+,5,35分钟,免配送费,起送 ¥20
953917808021196,6,袁记云饺（锦绣东方店）,6.2km,人均 ¥24,5.0,月售1000+,6,43分钟,配送 ¥4.8,起送 ¥20
957602889979752,6,袁记云饺(爱联店),2.6km,人均 ¥23,4.9,月售5000+,6,29分钟,配送 ¥0.1,起送 ¥18
1031033945793713,6,老广州茶点、炒粉、粥(爱联店),2.9km,人均 ¥21,4.6,月售7000+,3,29分钟,免配送费,起送 ¥15
1007407330749621,6,稻香颂肠粉·粥粉面世家（爱联店）,3.2km,人均 ¥16,4.8,月售3000+,6,29分钟,免配送费,起送 ¥16
946796752239073,6,曼玲粥店（茶式点心.爱联店）,3.1km,人均 ¥20,4.5,月售4000+,6,29分钟,免配送费,起送 ¥20
845057566960976,6,老上海馄饨铺(汤粉·炒面·龙岗店),8.0km,人均 ¥16,4.3,月售5000+,11,50分钟,配送 ¥8.7,起送 ¥10
965415435496409,6,武汉热干面,2.6km,人均 ¥22,4.8,月售1000+,6,29分钟,配送 ¥0.5,起送 ¥20
1121120884847937,6,米诺·三明治·沙拉·意面（龙岗分店）,3.5km,人均 ¥20,4.7,月售1000+,4,29分钟,配送 ¥2.3,起送 ¥15
941531122305518,6,袁记云饺(颐安都会中央店),2.0km,人均 ¥23,4.9,月售2000+,9,35分钟,免配送费,起送 ¥20
986130062768971,6,三津汤包（御景中央店）,3.3km,,5.0,月售400+,6,35分钟,配送 ¥1.9,起送 ¥20
943369368333321,6,袁记云饺（飞扬路店）,3.6km,人均 ¥26,4.9,月售1000+,5,35分钟,配送 ¥1.3,起送 ¥20
998830281043161,6,上围云吞第三分店（爱联店）,3.1km,人均 ¥25,4.7,月售700+,3,29分钟,配送 ¥4.8,起送 ¥20
