m_id,m_tag,m_name,distance,consumption_pp,rank,number_comment,number_disounts,delivery_time,delivery_cost,min_delivery_cost
1070049428749431,8,首尔·韩式炸鸡（爱联店）,3.1km,人均 ¥28,4.9,月售2000+,4,29分钟,配送 ¥0.4,起送 ¥20
926408542493889,8,韩国炸鸡啤酒屋（爱联店）,2.9km,人均 ¥23,4.8,月售3000+,5,30分钟,免配送费,起送 ¥0
930961207805659,8,叫了只炸鸡（爱联店）,3.2km,人均 ¥24,4.8,月售1000+,6,29分钟,免配送费,起送 ¥0
1113450073229853,8,桑妮·家韩式炸鸡(爱联店),2.7km,人均 ¥21,4.9,月售700+,6,29分钟,免配送费,起送 ¥20
1051855947269437,8,塔斯汀·中国汉堡(爱联店),3.1km,人均 ¥25,4.6,月售10000+,4,29分钟,配送 ¥0.8,起送 ¥20
971673202796643,8,Bigbeerfc韩式炸鸡（爱联店）,3.0km,人均 ¥20,4.9,月售300+,2,29分钟,免配送费,起送 ¥0
1044795021024472,8,AIRSUN韩式炸鸡（龙岗万科店）,5.3km,人均 ¥19,4.5,月售1000+,8,40分钟,配送 ¥2.5,起送 ¥15
1023577882620490,8,Enchanted韩式炸鸡(雁田店),5.5km,人均 ¥25,5.0,月售1000+,6,50分钟,配送 ¥1.8,起送 ¥30
1107608917753749,8,正新鸡排（余岭西路店）,3.1km,人均 ¥20,5.0,月售400+,3,29分钟,配送 ¥1.4,起送 ¥15
982436390856080,8,华莱士·全鸡汉堡(横岗坳背店),2.8km,人均 ¥25,4.8,月售1000+,5,33分钟,配送 ¥0.9,起送 ¥20
956421773982171,8,Obligi Chicken韩式炸鸡（爱联店）,3.3km,人均 ¥26,4.7,月售1000+,9,40分钟,配送 ¥1,起送 ¥0
907661010209186,8,芳姐芝麻鸡翅（爱联店）,3.1km,人均 ¥27,4.4,月售1000+,2,40分钟,免配送费,起送 ¥20
990687023030510,8,Kim Mi-Hee韩式炸鸡（爱联店）,3.4km,人均 ¥22,4.8,月售1000+,9,35分钟,免配送费,起送 ¥0
1043476466098515,8,华莱士·全鸡汉堡(爱联店),3.0km,人均 ¥24,4.4,月售2000+,4,29分钟,配送 ¥1.3,起送 ¥20
999942677562977,8,Bigbeerfc韩式炸鸡（深圳龙岗店）,3.0km,人均 ¥25,4.9,月售300+,9,29分钟,免配送费,起送 ¥0
901686710723606,8,蜜哆哆韩式炸鸡(爱联店),3.0km,人均 ¥25,4.9,月售500+,5,29分钟,配送 ¥1.2,起送 ¥20
