m_id,m_tag,m_name,distance,consumption_pp,rank,number_comment,number_disounts,delivery_time,delivery_cost,min_delivery_cost
886177583814157,5,翻滚吧炒饭•炒面•炒河粉（爱联店）,3.3km,人均 ¥19,4.9,月售4000+,11,35分钟,免配送费,起送 ¥0
977686157037592,5,姐姐的炒饭,2.9km,人均 ¥21,4.4,月售1000+,7,29分钟,配送 ¥1,起送 ¥15
1086005232225034,5,猛叔的炒饭,5.6km,人均 ¥21,4.5,月售1000+,4,45分钟,配送 ¥4.1,起送 ¥15
889785356341909,5,潮粤茶点·炒粉·肠粉·粥,2.9km,人均 ¥15,4.6,月售1000+,8,29分钟,配送 ¥0.1,起送 ¥15
1023212810399480,5,八合里牛肉火锅（天光城店）,3.3km,人均 ¥30,4.6,月售1000+,4,35分钟,配送 ¥2.4,起送 ¥20
1104645390304697,5,香江维园港式茶餐厅（龙岗大运店）,2.9km,人均 ¥36,4.6,月售3000+,4,29分钟,配送 ¥0.9,起送 ¥20
873468775627322,5,烧烤研究所•龙虾•海鲜（深圳南联社区店）,8.2km,人均 ¥26,4.7,月售10000+,7,70分钟,免配送费,起送 ¥69
1031033945793713,5,老广州茶点、炒粉、粥(爱联店),2.9km,人均 ¥21,4.6,月售7000+,3,29分钟,免配送费,起送 ¥15
921933186542270,5,禄茗广式茶点·炒粉·肠粉·粥(爱联店),3.1km,人均 ¥20,4.9,月售8000+,3,29分钟,免配送费,起送 ¥15
888655779959427,5,霸王铲蛋炒饭（炒粉面·辣卤·炖汤·万科店）,5.2km,人均 ¥19,4.5,月售5000+,8,40分钟,配送 ¥3,起送 ¥0
970805619413320,5,阿呆炒饭·猛火蛋炒饭（爱联店）,3.6km,人均 ¥18,4.0,月售800+,7,35分钟,配送 ¥1.6,起送 ¥0
954871290730254,5,正宗潮汕牛肉馆(湿炒牛河),3.0km,人均 ¥26,4.6,月售4000+,6,29分钟,配送 ¥1.6,起送 ¥20
1041449241483877,5,兰州拉面.炒饭.盖饭,4.3km,人均 ¥19,4.9,月售3000+,4,35分钟,配送 ¥2,起送 ¥15
912905165301466,5,潮汕牛肉店（粿条汤炒饭）,3.4km,,4.8,月售200+,7,35分钟,配送 ¥1,起送 ¥0
1077677290620604,5,沙县特味小吃,2.9km,人均 ¥23,4.6,月售100+,3,29分钟,配送 ¥1.6,起送 ¥15
1066518965629359,5,王者炒饭世家,5.3km,人均 ¥21,4.8,月售1000+,4,40分钟,配送 ¥6.5,起送 ¥15
