m_id,m_tag,m_name,distance,consumption_pp,rank,number_comment,number_disounts,delivery_time,delivery_cost,min_delivery_cost
1023212810399480,2,八合里牛肉火锅（天光城店）,3.3km,人均 ¥30,4.6,月售1000+,4,35分钟,配送 ¥2.4,起送 ¥20
1077449657407578,2,八合里牛肉火锅（天安数码城店）,6.0km,人均 ¥34,4.5,月售1000+,4,40分钟,配送 ¥5.9,起送 ¥20
1096261614156948,2,周记汕头牛肉店（牛肉粿条）,1.9km,人均 ¥32,4.6,月售2000+,4,29分钟,配送 ¥0.2,起送 ¥25
1048875239988772,2,锅圈食汇火锅烧烤食材超市（龙岗中心城中海康城店）,3.3km,,4.9,月售200+,8,37分钟,配送 ¥3,起送 ¥20
925300440948565,2,锅圈食汇火锅烧烤食材超市（梦公园店）,7.3km,,5.0,月售54,8,62分钟,配送 ¥5,起送 ¥48
1076629318634628,2,海底捞小火锅外送（龙岗店）,3.7km,,4.0,月售200+,10,55分钟,配送 ¥20,起送 ¥78
993023485225158,2,小龙坎火锅冒菜（万科广场店）,6.2km,人均 ¥30,4.7,月售2000+,8,43分钟,配送 ¥7,起送 ¥20
1062485991340901,2,八合里牛肉火锅（龙城万科里店）,7.6km,人均 ¥30,4.6,月售1000+,4,59分钟,配送 ¥9.1,起送 ¥20
1120231826622558,2,思密达•韩国料理（爱联店）,3.1km,人均 ¥23,4.9,月售3000+,6,32分钟,配送 ¥0.4,起送 ¥0
872416508586639,2,四季椰林椰子鸡（龙岗cocopark店）,2.7km,人均 ¥58,4.6,月售1000+,5,35分钟,配送 ¥6.4,起送 ¥30
1081345192700658,2,潮汕大目牛肉火锅（龙岗岁宝店）,5.3km,人均 ¥33,4.6,月售500+,4,40分钟,配送 ¥5.4,起送 ¥20
889244190498525,2,锅圈食汇火锅烧烤食材（凤岗雁田店）,7.0km,,4.7,月售400+,9,51分钟,配送 ¥5,起送 ¥58
887186901138498,2,冒菜西施·火锅麻辣烫（爱联店）,2.9km,人均 ¥23,4.8,月售2000+,9,29分钟,免配送费,起送 ¥15
1053754322817826,2,海底捞火锅外送（龙岗店）,3.7km,,4.6,月售200+,11,55分钟,配送 ¥15,起送 ¥78
1108287522574351,2,小厨酿·麻辣香锅（锅气现炒•爱联店）,2.9km,人均 ¥27,4.9,月售1000+,7,32分钟,配送 ¥0.1,起送 ¥20
1103962490528373,2,港湾火锅到家（龙岗店）,9.5km,人均 ¥61,4.8,月售100+,5,56分钟,配送 ¥9,起送 ¥98
1029547887138082,2,同仁四季.煲仔饭.椰子鸡(万科里店),7.6km,人均 ¥40,4.5,月售1000+,6,52分钟,配送 ¥9.8,起送 ¥20
903945863500980,2,林记潮汕桐坑牛肉店（爱联店）,3.9km,人均 ¥25,4.4,月售800+,3,35分钟,免配送费,起送 ¥20
971467044358159,2,壹鲜锅·冒菜.干锅（松柏天虹店）,5.7km,人均 ¥21,4.8,月售3000+,5,43分钟,配送 ¥2.4,起送 ¥20
862130061928997,2,呷哺呷哺火锅(深圳龙岗万科店),6.4km,人均 ¥37,4.6,月售200+,4,55分钟,配送 ¥8.6,起送 ¥20
1053638358675559,2,十里鸡公煲(吉祥店),5.6km,人均 ¥24,4.8,月售2000+,3,43分钟,配送 ¥2.9,起送 ¥20
1094938764186430,2,杨国福麻辣烫（昌盛百货店）,3.6km,人均 ¥26,4.7,月售5000+,5,38分钟,配送 ¥0.3,起送 ¥15
1020176268504311,2,潮源鲜牛肉火锅（睿智华庭店）,3.1km,人均 ¥25,0.0,月售54,5,29分钟,配送 ¥3.8,起送 ¥20
994208896239756,2,小谷姐姐麻辣拌●麻辣烫(天光路店),3.2km,人均 ¥24,4.8,月售4000+,4,32分钟,免配送费,起送 ¥20
926146549462514,2,蛙小厨•干锅牛蛙•鸡煲,3.7km,,4.8,月售400+,3,54分钟,免配送费,起送 ¥20
911728344293382,2,燚东北泥炉烤肉（天光城店）,3.3km,,5.0,月售200+,6,45分钟,免配送费,起送 ¥28
907119844391924,2,觅姐汤可以喝的麻辣烫（爱联店）,2.9km,人均 ¥20,4.8,月售1000+,4,32分钟,免配送费,起送 ¥15
1088809845851007,2,潮姨姨麻辣拌•麻辣烫,3.1km,人均 ¥26,4.3,月售1000+,4,29分钟,配送 ¥1.2,起送 ¥20
957482630897096,2,蒙自源米线（龙岗天光城店）,3.4km,人均 ¥27,4.8,月售3000+,4,35分钟,配送 ¥1.4,起送 ¥15
