m_id,m_tag,m_name,distance,consumption_pp,rank,number_comment,number_disounts,delivery_time,delivery_cost,min_delivery_cost
939164595372920,3,茶百道（爱联余岭西路店）,3.1km,人均 ¥16,4.8,月售10000+,4,42分钟,免配送费,起送 ¥20
1108347652086698,3,沪上阿姨鲜果茶(爱联店),3.4km,人均 ¥17,4.6,月售6000+,8,29分钟,配送 ¥0.3,起送 ¥15
1039550865941902,3,喜茶（深圳龙岗COCOPark店）,2.6km,人均 ¥21,4.4,月售7000+,0,51分钟,配送 ¥3.7,起送 ¥20
1005375811160797,3,古茗（龙岗爱联店）,3.1km,人均 ¥17,4.7,月售7000+,5,39分钟,免配送费,起送 ¥20
883918431045625,3,茶百道（横岗大厦店）,6.5km,人均 ¥16,4.6,月售9000+,2,44分钟,配送 ¥2.6,起送 ¥15
848888677776706,3,奈雪的茶（深圳龙岗启迪协信科技园店）,1.9km,人均 ¥22,4.8,月售1000+,2,29分钟,配送 ¥2.6,起送 ¥20
1032202176932502,3,沪上阿姨鲜果茶(龙岗万科店),5.6km,人均 ¥16,4.8,月售4000+,6,40分钟,配送 ¥5.4,起送 ¥20
958689516690249,3,1点点（爱联余岭西路店）,3.1km,,4.8,月售4000+,0,32分钟,配送 ¥1.4,起送 ¥18
1004533997623367,3,奈雪的茶PRO（深圳龙岗cocopark店）,2.7km,人均 ¥21,4.8,月售3000+,1,60分钟,配送 ¥2,起送 ¥20
909177133676732,3,茉莉奶白（龙岗星河店）,2.7km,人均 ¥20,4.9,月售3000+,4,35分钟,配送 ¥0.1,起送 ¥15
1076646498493230,3,蜜雪冰城（爱联店）,3.1km,人均 ¥9,4.6,月售6000+,2,38分钟,配送 ¥0.7,起送 ¥18
927928960935270,3,茶救星球·蔬果茶（天光城店）,3.2km,人均 ¥15,4.7,月售3000+,3,32分钟,免配送费,起送 ¥15
1009795332564822,3,英歌魂（爱联店）,3.2km,人均 ¥18,4.7,月售2000+,3,38分钟,配送 ¥0.4,起送 ¥18
943481037494696,3,丘大叔柠檬茶（龙岗星河分店）,2.7km,人均 ¥20,4.9,月售2000+,2,35分钟,配送 ¥3.9,起送 ¥20
1003357176589079,3,春莱·老挝冰咖啡·泰式奶茶(龙岗启迪店),1.9km,人均 ¥20,4.8,月售1000+,4,29分钟,免配送费,起送 ¥15
918669011413867,3,鄰里泰绿手打柠檬茶(爱都路店）,3.0km,人均 ¥10,4.8,月售2000+,7,37分钟,免配送费,起送 ¥15
856271726575593,3,有空茶饮（鲜果茶·京基御景店）,3.3km,人均 ¥17,4.7,月售2000+,5,35分钟,配送 ¥0.4,起送 ¥15
902476984744466,3,YO!TEA有茶(龙岗天光城店),3.3km,人均 ¥21,4.9,月售2000+,6,35分钟,配送 ¥2.6,起送 ¥20
980245957556170,3,CoCo都可(智富里店),3.7km,人均 ¥14,5.0,月售1000+,1,35分钟,配送 ¥1.2,起送 ¥20
981470023253480,3,鄰​⁠里·手打柠檬茶（龙岗大运店),2.5km,人均 ¥12,4.9,月售800+,6,35分钟,免配送费,起送 ¥0
902476984744466,3,YO!TEA有茶(龙岗天光城店),3.3km,人均 ¥21,4.9,月售2000+,6,35分钟,配送 ¥2.6,起送 ¥20
981470023253480,3,鄰​⁠里·手打柠檬茶（龙岗大运店),2.5km,人均 ¥12,4.9,月售800+,6,35分钟,免配送费,起送 ¥0
977484293580733,3,新叶NEAVES（龙岗天光城店）,3.4km,人均 ¥17,4.6,月售2000+,4,35分钟,配送 ¥0.9,起送 ¥15
1121503136957641,3,鄰里泰绿手打柠檬茶(龙岗爱联店),3.0km,,4.4,月售3000+,6,29分钟,免配送费,起送 ¥0
974052614676194,3,古御贡茶•奶茶•柠檬茶•手抓饼（爱联店）,3.6km,人均 ¥12,4.7,月售3000+,8,50分钟,免配送费,起送 ¥0
1071999343898866,3,一啡一柠(龙城店),3.4km,人均 ¥17,4.9,月售1000+,5,35分钟,免配送费,起送 ¥0
959758963507896,3,ARTEASG(奶茶·世贸中心店),6.8km,人均 ¥21,4.8,月售3000+,5,43分钟,配送 ¥6.1,起送 ¥20
1014408127412461,3,古茗（横岗志建广场店）,6.1km,人均 ¥17,4.7,月售10000+,4,60分钟,配送 ¥7.6,起送 ¥15
977574487866316,3,CoCo都可(横岗天虹店),5.8km,人均 ¥17,4.8,月售1000+,4,40分钟,配送 ¥5.9,起送 ¥18
864049912312162,3,茶救星球·蔬果茶（龙岗横岗店）,6.1km,人均 ¥15,4.9,月售6000+,3,50分钟,配送 ¥5.3,起送 ¥15
952113921754654,3,LINLEE林里·手打柠檬茶(爱联店),3.1km,人均 ¥18,4.8,月售600+,6,29分钟,免配送费,起送 ¥20
858625368604317,3,奈雪的茶（深圳龙岗颐安智富里店）,3.7km,人均 ¥22,4.7,月售1000+,2,39分钟,配送 ¥7.1,起送 ¥20
932597590363717,3,喜三德甜品•手工芋圆•糖水铺（龙岗爱联店）,3.6km,人均 ¥26,4.9,月售7000+,7,50分钟,免配送费,起送 ¥15
1078059542713183,3,LINLEE林里·手打柠檬茶（凤岗奥特莱斯店）,5.0km,人均 ¥16,4.7,月售1000+,5,40分钟,配送 ¥2.3,起送 ¥0
1064508920953715,3,书亦烧仙草(天安数码城店),5.9km,人均 ¥16,4.8,月售1000+,4,40分钟,配送 ¥1.8,起送 ¥25
1034560113978103,3,沪上阿姨鲜果茶(龙岗天安数码店),5.3km,人均 ¥16,4.6,月售3000+,7,40分钟,配送 ¥1.9,起送 ¥15
935114441194175,3,古茗（禾田路店）,6.2km,人均 ¥16,4.8,月售5000+,5,51分钟,配送 ¥2.6,起送 ¥20
1032202176932502,3,沪上阿姨鲜果茶(龙岗万科店),5.6km,人均 ¥16,4.8,月售4000+,6,40分钟,配送 ¥5.4,起送 ¥20
1086366009521443,3,茉莉奶白（松柏天虹店）,5.6km,人均 ¥20,4.9,月售3000+,4,40分钟,配送 ¥4.9,起送 ¥15
851276679576865,3,英歌魂（禾田店）,6.2km,人均 ¥17,4.8,月售2000+,3,40分钟,配送 ¥5.8,起送 ¥15
