m_id,m_tag,m_name,distance,consumption_pp,rank,number_comment,number_disounts,delivery_time,delivery_cost,min_delivery_cost
921933186542270,4,禄茗广式茶点·炒粉·肠粉·粥(爱联店),3.1km,人均 ¥20,4.9,月售8000+,3,29分钟,免配送费,起送 ¥15
889785356341909,4,潮粤茶点·炒粉·肠粉·粥,2.9km,人均 ¥15,4.6,月售1000+,8,29分钟,配送 ¥0.1,起送 ¥15
1007407330749621,4,稻香颂肠粉·粥粉面世家（爱联店）,3.2km,人均 ¥16,4.8,月售3000+,6,29分钟,免配送费,起送 ¥16
965939421493423,4,禾记肠粉店,3.0km,人均 ¥20,4.5,月售2000+,2,29分钟,配送 ¥0.9,起送 ¥15
1034426969994344,4,深夜豆浆,3.1km,人均 ¥23,4.0,月售1000+,4,29分钟,配送 ¥1.3,起送 ¥20
1030784837738517,4,小禾豆浆·肠粉·粥点·汤粉（爱联店）,3.5km,人均 ¥17,4.8,月售3000+,5,35分钟,免配送费,起送 ¥20
1051490875016309,4,石磨腸粉(黄记仁恒四季店),3.2km,人均 ¥19,4.6,月售500+,5,35分钟,配送 ¥0.8,起送 ¥20
889046621971219,4,红荔村肠粉（龙城店）,6.2km,人均 ¥23,4.6,月售4000+,5,40分钟,配送 ¥5.6,起送 ¥20
1083982302660580,4,黑皮鞋咖啡（肠粉·咖啡·蛋糕）,1.7km,,4.9,月售500+,3,29分钟,配送 ¥0.9,起送 ¥20
1057271901048971,4,九索肠粉皇•粥•炒粉•豆浆（横岗店）,6.6km,人均 ¥18,4.9,月售1000+,7,50分钟,配送 ¥3.2,起送 ¥15
1046942504664699,4,石磨肠粉（中海康城店）,3.4km,人均 ¥22,4.6,月售900+,3,40分钟,配送 ¥3.3,起送 ¥20
1090807005674492,4,小禾豆浆·肠粉·粥点·汤粉.小吃（大运店）,4.1km,人均 ¥17,4.6,月售600+,8,35分钟,配送 ¥2.6,起送 ¥20
1013252781230927,4,劲道石磨肠粉（爱联店）,3.0km,人均 ¥19,4.6,月售1000+,5,40分钟,免配送费,起送 ¥20
1121004920750845,4,维港冰室•茶餐厅(龙岗中心店),3.6km,人均 ¥37,4.4,月售5000+,5,35分钟,免配送费,起送 ¥25
1107540198233168,4,牛大吉·牛肉工坊（御景中央店）,3.4km,人均 ¥25,4.8,月售2000+,9,35分钟,配送 ¥1.8,起送 ¥20
1012638600858593,4,潮味汤粉王·炒粉·饺子（爱联店）,2.5km,人均 ¥17,4.8,月售2000+,7,29分钟,免配送费,起送 ¥15
946796752239073,4,曼玲粥店（茶式点心.爱联店）,3.1km,人均 ¥20,4.5,月售4000+,6,29分钟,免配送费,起送 ¥20
953217728373103,4,红荔村肠粉（龙岗中心城店）,6.2km,人均 ¥23,4.7,月售3000+,4,60分钟,配送 ¥9.6,起送 ¥20
1031033945793713,4,老广州茶点、炒粉、粥(爱联店),2.9km,人均 ¥21,4.6,月售7000+,3,29分钟,免配送费,起送 ¥15
1104645390304697,4,香江维园港式茶餐厅（龙岗大运店）,2.9km,人均 ¥36,4.6,月售3000+,4,29分钟,配送 ¥0.9,起送 ¥20
888496866157961,4,美颐美●鲍汁排骨饭(龙岗C0C0 Park店),2.6km,人均 ¥31,4.7,月售2000+,7,32分钟,配送 ¥1.7,起送 ¥20
