m_id,m_tag,m_name,distance,consumption_pp,rank,number_comment,number_disounts,delivery_time,delivery_cost,min_delivery_cost
1023212810399480,7,八合里牛肉火锅（天光城店）,3.3km,人均 ¥30,4.6,月售1000+,4,35分钟,配送 ¥2.4,起送 ¥20
1096261614156948,7,周记汕头牛肉店（牛肉粿条）,1.9km,人均 ¥32,4.6,月售2000+,4,29分钟,配送 ¥0.2,起送 ¥25
930097919387335,7,潮汕海鲜砂锅粥(爱联店),3.1km,人均 ¥25,4.6,月售5000+,4,29分钟,免配送费,起送 ¥15
926408542493889,7,韩国炸鸡啤酒屋（爱联店）,2.9km,人均 ¥23,4.8,月售3000+,5,29分钟,免配送费,起送 ¥0
1010349383312167,7,秘觉（牛蛙·烤鱼·烧烤·龙城公园店）,5.5km,人均 ¥30,4.8,月售1000+,6,47分钟,配送 ¥4,起送 ¥0
1051903191880818,7,金牌手抓饼·烤冷面·小吃·奶茶·下午茶·宵夜（雁田店）,8.2km,人均 ¥19,4.8,月售5000+,9,75分钟,免配送费,起送 ¥20
1115447233080168,7,一品海鲜粥（鱼粥.海丰小米）,3.0km,人均 ¥28,4.6,月售1000+,7,29分钟,配送 ¥0.9,起送 ¥20
1031033945793713,7,老广州茶点、炒粉、粥(爱联店),2.9km,人均 ¥21,4.6,月售7000+,3,29分钟,免配送费,起送 ¥15
967507084573819,7,甘火肥肠鸡·牛蛙(龙岗店),3.0km,人均 ¥31,4.8,月售1000+,6,50分钟,免配送费,起送 ¥0
1032159227234687,7,山姆手作·芝士牛肉卷(爱联店),2.9km,人均 ¥23,4.9,月售1000+,4,29分钟,免配送费,起送 ¥20
1091275157084769,7,杨氏手撕烤鸭(烤鸭饭),2.7km,人均 ¥25,4.7,月售2000+,5,29分钟,免配送费,起送 ¥20
905328843013583,7,京悦德北京烤鸭（爱联店）,3.0km,人均 ¥33,4.8,月售3000+,8,29分钟,配送 ¥1,起送 ¥10
1102652525494478,7,金牌手抓饼·烤冷面·小吃·下午茶·宵夜（龙岗爱联店）,3.6km,人均 ¥17,4.9,月售3000+,7,50分钟,免配送费,起送 ¥16
921933186542270,7,禄茗广式茶点·炒粉·肠粉·粥(爱联店),3.1km,人均 ¥20,4.9,月售8000+,3,29分钟,免配送费,起送 ¥15
940564754725881,7,三郎烈焰烤鸡（爱联店）,3.1km,人均 ¥25,4.3,月售1000+,6,29分钟,免配送费,起送 ¥20
1070049428749431,7,首尔·韩式炸鸡（爱联店）,3.1km,人均 ¥28,4.9,月售2000+,4,29分钟,配送 ¥0.4,起送 ¥20
1079236363777006,7,金牌手抓饼·烤冷面·小吃·奶茶·下午茶·宵夜（龙岗中心城店）,7.7km,人均 ¥18,4.8,月售4000+,8,70分钟,配送 ¥1.9,起送 ¥16
1123027850306988,7,木屋烧烤（大运京基御景店）,3.3km,人均 ¥47,4.7,月售2000+,2,38分钟,配送 ¥6.4,起送 ¥30
1077449657407578,7,八合里牛肉火锅（天安数码城店）,6.0km,人均 ¥34,4.5,月售1000+,4,40分钟,配送 ¥5.9,起送 ¥20
1051855947269437,7,塔斯汀·中国汉堡(爱联店),3.1km,人均 ¥25,4.6,月售10000+,4,29分钟,配送 ¥0.8,起送 ¥20
863435732003923,7,百步香烧烤.小龙虾.生蚝（龙岗店）,3.5km,人均 ¥24,4.4,月售7000+,9,40分钟,免配送费,起送 ¥20
1037450626981426,7,京科进京赶烤·烧烤·海鲜·龙虾（深圳龙岗店）,7.5km,人均 ¥23,4.7,月售7000+,6,64分钟,免配送费,起送 ¥69
1067309239595334,7,尊宝比萨(天健城店),2.5km,人均 ¥26,4.9,月售1000+,4,35分钟,配送 ¥1,起送 ¥25
1097790622467966,7,喜三德甜品•手工芋圆•粉面糖水•下午茶•夜宵（深圳旗舰店）,7.7km,人均 ¥25,4.9,月售7000+,8,70分钟,免配送费,起送 ¥15
1071651451504057,7,大米先生（深圳梦创广场店）,7.1km,人均 ¥25,4.6,月售5000+,3,50分钟,配送 ¥4.2,起送 ¥20
916336844160244,7,喜姐炸串（龙岗天光城店）,3.3km,人均 ¥27,4.8,月售2000+,4,35分钟,免配送费,起送 ¥20
