m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation
0,3.1,16,4.7123,4,-0.0214
1,3.4,17,4.7325,8,0.0398
2,2.6,21,4.7273,0,0.2844
3,3.1,17,4.7273,5,0.0398
4,6.5,16,4.7173,2,-0.0214
5,1.9,22,4.7594,2,0.3456
6,5.6,16,4.743,6,-0.0214
7,3.1,0,4.743,0,-1.0
8,2.7,21,4.7484,1,0.2844
9,2.7,20,4.7484,4,0.2232
10,3.1,9,4.7325,2,-0.4495
11,3.2,15,4.7484,3,-0.0826
12,3.2,18,4.7538,3,0.1009
13,2.7,20,4.7538,2,0.2232
14,1.9,20,4.7594,4,0.2232
15,3.0,10,4.7538,7,-0.3884
16,3.3,17,4.7538,5,0.0398
17,3.3,21,4.7538,6,0.2844
18,3.7,14,4.7667,1,-0.1437
19,2.5,12,4.7605,6,-0.2661
20,3.3,21,4.7538,6,0.2844
21,2.5,12,4.7605,6,-0.2661
22,3.4,17,4.7538,4,0.0398
23,3.0,0,4.7484,6,-1.0
24,3.6,12,4.7484,8,-0.2661
25,3.4,17,4.7594,5,0.0398
26,6.8,21,4.7484,5,0.2844
27,6.1,17,4.7123,4,0.0398
28,5.8,17,4.7594,4,0.0398
29,6.1,15,4.7325,3,-0.0826
30,3.1,18,4.7616,6,0.1009
31,3.7,22,4.7594,2,0.3456
32,3.6,26,4.7273,7,0.5902
33,5.0,16,4.7594,5,-0.0214
34,5.9,16,4.7594,4,-0.0214
35,5.3,16,4.7484,7,-0.0214
36,6.2,16,4.7377,5,-0.0214
37,5.6,16,4.743,6,-0.0214
38,5.6,20,4.7484,4,0.2232
39,6.2,17,4.7538,3,0.0398
